name,team,position_text,salary,points
"Manning, Peyton","DEN","QB","10000","25.5"
"Brady, Tom Prob","NE","QB","9000","25.4"
"Luck, Andrew","IND","QB","10100","25.1"
"Brees, Drew","NO","QB","9100","23.8"
"Brown, Antonio","PIT","WR","9000","23"
"Bryant, Dez","DAL","WR","8800","22.7"
"Kaepernick, Colin","SF","QB","7800","22"
"Maclin, Jeremy","PHI","WR","8400","21.7"
"Foles, Nick Ques","PHI","QB","8400","21.6"
"Newton, Cam","CAR","QB","7800","21.3"
"Sanders, Emmanuel","DEN","WR","8200","21.3"
"Thomas, Demaryius","DEN","WR","9200","21.3"
"Hilton, T.Y.","IND","WR","8100","21"
"Foster, Arian Ques","HOU","RB","9400","20.6"
"Green, A.J. Prob","CIN","WR","8400","20.2"
"Charles, Jamaal Prob","KC","RB","9000","20.2"
"Benjamin, Kelvin","CAR","WR","7000","19.9"
"Murray, DeMarco","DAL","RB","9600","19.3"
"Johnson, Andre Prob","HOU","WR","6900","19.2"
"Lynch, Marshawn Prob","SEA","RB","8200","19.1"
"Wallace, Mike","MIA","WR","7200","18.9"
"Gronkowski, Rob","NE","TE","7900","18.9"
"Ellington, A. Prob","ARI","RB","7700","18.7"
"Hopkins, DeAndre","HOU","WR","6900","18.5"
"Ingram, Mark","NO","RB","6100","18.5"
"Jackson, V. Prob","TB","WR","6700","18.4"
"Bradshaw, Ahmad Prob","IND","RB","7500","18.4"
"Palmer, Carson","ARI","QB","7800","18.3"
"Wilson, Russell","SEA","QB","8600","18.2"
"Roethlisberger, Ben","PIT","QB","8000","18.2"
"Griffin, Robert Prob","WAS","QB","7200","18"
"Glennon, Mike","TB","QB","6500","17.8"
"Bell, Le'Veon","PIT","RB","8700","17.8"
"Floyd, Michael Prob","ARI","WR","6500","17.5"
"Smith, Steve","BAL","WR","7200","17.5"
"McCoy, LeSean","PHI","RB","7800","17.4"
"Miller, Lamar Ques","MIA","RB","7300","17.4"
"Manning, Eli","NYG","QB","7600","17.4"
"Rivers, Philip Ques","SD","QB","8800","17.3"
"Dalton, Andy","CIN","QB","8500","17.3"
"Gore, Frank","SF","RB","7200","17.3"
"Hillman, Ronnie Prob","DEN","RB","7200","17.3"
"Oliver, Branden","SD","RB","7000","17.3"
"Fitzgerald, Larry","ARI","WR","6900","17.2"
"Vereen, Shane","NE","RB","6600","17.1"
"Tannehill, Ryan","MIA","QB","7900","17"
"Randle, Rueben","NYG","WR","6400","17"
"Weeden, Brandon","DAL","QB","5000","16.8"
"Evans, Mike","TB","WR","6000","16.7"
"Jackson, DeSean","WAS","WR","7800","16.3"
"Flacco, Joe","BAL","QB","7300","16.2"
"Thomas, Julius","DEN","TE","7800","16.2"
"Forsett, Justin Prob","BAL","RB","6500","15.9"
"Bortles, Blake","JAX","QB","6200","15.8"
"Robinson, Denard","JAX","RB","6700","15.7"
"Morris, Alfred","WAS","RB","6800","15.7"
"McKinnon, Jerick","MIN","RB","6300","15.5"
"Allen, Keenan","SD","WR","6700","15.3"
"Colston, Marques","NO","WR","6700","15.2"
"Fitzpatrick, Ryan","HOU","QB","6400","15.1"
"Olsen, Greg","CAR","TE","7200","15.1"
"Suisham, Shaun","PIT","K","4900","15"
"Gostkowski, Stephen","NE","K","5400","15"
"Gano, Graham","CAR","K","5100","15"
"Hill, Jeremy Prob","CIN","RB","5200","15"
"McFadden, Darren","OAK","RB","6000","14.7"
"Davis, Austin","STL","QB","7000","14.6"
"Smith, Alex Prob","KC","QB","7100","14.6"
"Sanu, Mohamed","CIN","WR","7200","14.5"
"Crabtree, Michael","SF","WR","6700","14.5"
"Edelman, Julian","NE","WR","6800","14.4"
"Baldwin, Doug","SEA","WR","6700","14.3"
"Ivory, Chris","NYJ","RB","6700","14.3"
"Graham, Jimmy Prob","NO","TE","7000","14"
"Bailey, Dan","DAL","K","5400","14"
"Santos, Cairo","KC","K","4800","14"
"Tucker, Justin","BAL","K","5300","14"
"Walsh, Blair","MIN","K","4900","14"
"Parkey, Cody","PHI","K","5000","14"
"Williams, Andre","NYG","RB","6200","13.9"
"Reed, Jordan","WAS","TE","5500","13.8"
"Cooks, Brandin","NO","WR","6400","13.6"
"Allen, Dwayne","IND","TE","6200","13.5"
"LaFell, Brandon","NE","WR","6900","13.5"
"Tate, Ben","CLE","RB","6900","13.5"
"Kelce, Travis Prob","KC","TE","5400","13.2"
"Carr, Derek","OAK","QB","6800","13.2"
"Vick, Michael","NYJ","QB","6900","13.1"
"Scobee, Josh","JAX","K","4600","13"
"Novak, Nick","SD","K","4700","13"
"Dawson, Phil","SF","K","5100","13"
"Gates, Antonio","SD","TE","7100","13"
"Garcon, Pierre","WAS","WR","6900","12.9"
"Davis, Vernon","SF","TE","5700","12.9"
"Hawkins, Andrew","CLE","WR","6400","12.7"
"Gray, Jonas","NE","RB","6000","12.5"
"Robinson, Allen","JAX","WR","6500","12.5"
"Hauschka, Steven","SEA","K","5000","12"
"Beckham, Odell","NYG","WR","6600","12"
"Wayne, Reggie Prob","IND","WR","6800","11.9"
"Boldin, Anquan","SF","WR","6300","11.8"
"Decker, Eric Prob","NYJ","WR","6200","11.7"
"Mason, Tre","STL","RB","5400","11.7"
"Williams, D. Prob","CAR","RB","5700","11.5"
"Welker, Wes","DEN","WR","6300","11.5"
"Shorts, Cecil Prob","JAX","WR","6100","11.5"
"Bowe, Dwayne","KC","WR","6200","11.4"
"Bridgewater, Teddy","MIN","QB","5900","11.4"
"Catanzaro, Chandler","ARI","K","4900","11"
"Graham, Shayne","NO","K","4800","11"
"Forbath, Kai","WAS","K","5000","11"
"Vinatieri, Adam","IND","K","5100","11"
"Kansas City Chiefs","KC","D","5300","11"
"McManus, B. Prob","DEN","K","4600","11"
"Nugent, Mike","CIN","K","5100","11"
"Moncrief, Donte","IND","WR","6200","10.9"
"Jennings, Greg","MIN","WR","6000","10.8"
"Smith, Torrey","BAL","WR","6100","10.6"
"Patterson, C.","MIN","WR","6300","10.4"
"Hoyer, Brian","CLE","QB","6200","10"
"Janikowski, S.","OAK","K","4900","10"
"Folk, Nick","NYJ","K","4600","10"
"Ertz, Zach","PHI","TE","5400","10"
"Brown, Josh","NYG","K","5000","10"
"Sturgis, Caleb","MIA","K","4900","10"
"Zuerlein, Greg","STL","K","4500","10"
"Williams, Terrance","DAL","WR","6800","9.6"
"Floyd, Malcom","SD","WR","5600","9.6"
"Donnell, Larry","NYG","TE","5400","9.5"
"Jones, James","OAK","WR","5600","9.5"
"Bryant, Martavis","PIT","WR","6300","9.3"
"Holmes, Andre","OAK","WR","6500","9.3"
"Davis, Knile","KC","RB","6400","9.1"
"Witten, Jason","DAL","TE","5700","9.1"
"Murray, Patrick","TB","K","4700","9"
"Cundiff, Billy","CLE","K","4600","9"
"Bullock, Randy","HOU","K","4800","9"
"Rainey, Bobby","TB","RB","6200","8.8"
"Miller, Heath Prob","PIT","TE","5400","8.6"
"Brown, John","ARI","WR","6400","8.5"
"Cooper, Riley","PHI","WR","5300","8.5"
"Sproles, Darren Prob","PHI","RB","6100","8.4"
"Harbor, Clay","JAX","TE","5200","8.3"
"Wheaton, Markus","PIT","WR","5900","8.2"
"Stills, Kenny","NO","WR","6000","8.1"
"Kearse, Jermaine","SEA","WR","4700","8"
"Harvin, Percy","NYJ","WR","6400","7.9"
"Cook, Jared","STL","TE","4900","7.9"
"Britt, Kenny Prob","STL","WR","5300","7.8"
"Amaro, Jace","NYJ","TE","5100","7.8"
"Helu, Roy","WAS","RB","5200","7.6"
"Johnson, Chris Prob","NYJ","RB","5700","7.6"
"Martin, Doug Inact","TB","RB","6300","7.6"
"Royal, Eddie","SD","WR","5900","7.6"
"Hyde, Carlos","SF","RB","5800","7.6"
"Nicks, Hakeem","IND","WR","4900","7.5"
"Stewart, Jonathan","CAR","RB","5300","7.3"
"Hurns, Allen Prob","JAX","WR","5000","7.3"
"Gresham, Jermaine","CIN","TE","5100","7.2"
"Cunningham, Benny","STL","RB","5300","7.2"
"Richardson, Trent","IND","RB","5900","7.2"
"Matthews, Jordan","PHI","WR","5900","7.2"
"Jones-Drew, Maurice","OAK","RB","5100","7"
"Landry, Jarvis","MIA","WR","5200","7"
"Cincinnati Bengals","CIN","D","5600","7"
"Austin, Miles","CLE","WR","4800","7"
"Clay, Charles Prob","MIA","TE","4900","6.5"
"Fleener, Coby","IND","TE","5100","6.4"
"Cotchery, Jerricho","CAR","WR","4900","6"
"Crowell, Isaiah","CLE","RB","4800","6"
"Daniels, Owen Ques","BAL","TE","5500","6"
"Minnesota Vikings","MIN","D","4900","6"
"Taliaferro, Lorenzo","BAL","RB","6400","6"
"Murphy, Louis","TB","WR","6200","6"
